account_id,account_name,industry,country,plan_tier,current_plan_tier,seats,total_mrr,avg_mrr,account_age_days,subscription_tenure_days,days_since_latest_subscription_start,target_future_churn
A-43a9e3,Company_1,FinTech,IN,Basic,Enterprise,18,10004,1250.5,410,376,84,0
A-0a282f,Company_2,DevTools,US,Basic,Enterprise,1,1194,1194.0,34,2,2,1
A-1f0ac7,Company_3,HealthTech,UK,Basic,Enterprise,24,7491,1498.2,400,301,81,1
A-1b9609,Company_5,EdTech,IN,Enterprise,Enterprise,4,16614,1846.0,354,304,27,1
A-a0ca4e,Company_6,Cybersecurity,US,Pro,Enterprise,11,10920,1820.0,206,198,5,0
A-e5d6ab,Company_7,EdTech,US,Pro,Enterprise,3,10815,1351.875,534,508,70,0
A-7dacce,Company_8,Cybersecurity,CA,Enterprise,Enterprise,12,4975,1658.3333333333333,20,20,12,1
A-10b8da,Company_9,DevTools,US,Enterprise,Enterprise,14,5404,1080.8,511,479,16,0
A-592832,Company_10,Cybersecurity,US,Basic,Enterprise,18,12605,3151.25,5,4,0,1
A-6c093d,Company_12,DevTools,US,Basic,Enterprise,7,15728,1966.0,535,519,18,0
A-462d45,Company_13,Cybersecurity,US,Enterprise,Enterprise,11,17282,1920.2222222222222,259,230,6,0
A-ac14bb,Company_15,FinTech,US,Enterprise,Enterprise,21,27347,3906.714285714286,388,369,89,1
A-ce66f8,Company_17,EdTech,CA,Pro,Enterprise,29,11858,1976.3333333333333,404,403,65,0
A-c4ea60,Company_18,FinTech,DE,Enterprise,Enterprise,18,6600,1100.0,571,538,21,0
A-832ec2,Company_19,FinTech,UK,Enterprise,Enterprise,4,4921,703.0,316,272,26,0
A-684255,Company_20,FinTech,US,Enterprise,Enterprise,9,9744,1082.6666666666667,169,169,21,0
A-c42f1f,Company_21,HealthTech,US,Pro,Pro,8,539,539.0,64,64,64,0
A-4e44e8,Company_22,DevTools,US,Enterprise,Pro,3,1874,267.7142857142857,41,38,2,0
A-30b4ca,Company_23,EdTech,IN,Basic,Enterprise,86,74304,10614.857142857143,133,129,36,0
A-32fb14,Company_25,DevTools,US,Enterprise,Pro,26,3601,600.1666666666666,573,440,26,0
A-00cac8,Company_26,HealthTech,AU,Enterprise,Enterprise,8,9210,1315.7142857142858,381,380,25,0
A-35083d,Company_27,HealthTech,IN,Basic,Enterprise,19,20820,1601.5384615384614,521,485,21,0
A-eb7fac,Company_28,DevTools,US,Enterprise,Enterprise,7,41259,5157.375,338,279,8,0
